dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNet,6,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2816925644874573,0.0377,0.04993873415340408,0.03554,0.37526,0.6247400000000001,0.0,
ImageNet,6,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.294413685798645,0.0364,0.049981015157406196,0.03836,0.37566,0.62434,0.0,A
ImageNet,7,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.13,0.0368,0.04903873415340408,0.0382,0.6345,0.36550000000000005,0.0,
ImageNet,7,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2910066246986389,0.0377,0.04993873415340408,0.03788,0.37448,0.6255200000000001,0.0,
ImageNet,7,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.31629329919815063,0.0377,0.04993873415340408,0.03986,0.38606,0.6139399999999999,0.0,
ImageNet,7,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.30658215284347534,0.0363,0.04988101515740619,0.03866,0.38312,0.61688,0.0,B
ImageNet,8,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0375,0.04973873415340408,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,8,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2802140712738037,0.0377,0.04993873415340408,0.0365,0.37124,0.62876,0.0,
ImageNet,8,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.3056793808937073,0.0377,0.04993873415340408,0.03852,0.38276,0.61724,0.0,
ImageNet,8,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.29506510496139526,0.0364,0.049981015157406196,0.03734,0.37956,0.62044,0.0,B
ImageNet,9,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0372,0.04943873415340408,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,9,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2796715497970581,0.0377,0.04993873415340408,0.03644,0.37108,0.6289199999999999,0.0,
ImageNet,9,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.29506510496139526,0.0377,0.04993873415340408,0.03734,0.37956,0.62044,0.0,
ImageNet,9,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2870227098464966,0.0363,0.04988101515740619,0.03628,0.37722,0.62278,0.0,B
ImageNet,10,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.115,0.0364,0.048638734153404084,0.03478,0.61902,0.38098,0.0,
ImageNet,10,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.27592331171035767,0.0377,0.04993873415340408,0.03604,0.36988,0.63012,0.0,
ImageNet,10,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.3024677634239197,0.0377,0.04993873415340408,0.03804,0.38172,0.6182799999999999,0.0,
ImageNet,10,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.29164665937423706,0.0364,0.049981015157406196,0.03694,0.37852,0.62148,0.0,B
ImageNet,11,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.15,0.0377,0.04993873415340408,0.04286,0.65356,0.34643999999999997,0.0,
ImageNet,11,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.30783188343048096,0.0377,0.04993873415340408,0.0399,0.37974,0.62026,0.0,
ImageNet,11,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.307428240776062,0.0377,0.04993873415340408,0.03878,0.3834,0.6166,0.0,
ImageNet,11,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.29985618591308594,0.0364,0.049981015157406196,0.03778,0.38084,0.6191599999999999,0.0,B
ImageNet,12,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.12,0.0369,0.049138734153404084,0.03604,0.62426,0.37573999999999996,0.0,
ImageNet,12,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2925204038619995,0.0377,0.04993873415340408,0.03814,0.37512,0.62488,0.0,
