dataset,n,source_A_accuracy,source_B_accuracy,either_correct_oracle,router_lower_proxy_accuracy
ImageNet,50000,0.39076,0.39332,0.78332,0.78274
ImageNetV2,10000,0.31999999999999995,0.32789999999999997,0.6472,0.646
