dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNetV2,87,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.42479999999999996,0.072,0.09936664152555987,0.0765,0.3694,0.6306,0.0,
ImageNetV2,87,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.4205,0.0695,0.09986807309541526,0.0753,0.3678,0.6322,0.0,B
ImageNetV2,88,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.145,0.0525,0.09806314291989524,0.0585,0.509,0.491,0.0,
ImageNetV2,88,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.4042,0.0725,0.09986664152555987,0.0782,0.3567,0.6433,0.0,
ImageNetV2,88,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.39339999999999997,0.0715,0.09886664152555986,0.0701,0.3574,0.6426000000000001,0.0,
ImageNetV2,88,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.3919,0.0695,0.09986807309541526,0.0693,0.3563,0.6436999999999999,0.0,B
ImageNetV2,89,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.15,0.053,0.09856314291989524,0.0599,0.5139,0.4861,0.0,
ImageNetV2,89,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.43579999999999997,0.0725,0.09986664152555987,0.0827,0.3667,0.6333,0.0,
ImageNetV2,89,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4215,0.0725,0.09986664152555987,0.0756,0.3681,0.6319,0.0,
ImageNetV2,89,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.40369999999999995,0.0695,0.09986807309541526,0.0725,0.3622,0.6377999999999999,0.0,B
ImageNetV2,90,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.13,0.0535,0.09906314291989524,0.0535,0.4936,0.5064,0.0,
ImageNetV2,90,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.381,0.0725,0.09986664152555987,0.0729,0.3474,0.6526000000000001,0.0,
ImageNetV2,90,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.47019999999999995,0.0725,0.09986664152555987,0.086,0.3854,0.6146,0.0,
ImageNetV2,90,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.4355,0.0695,0.09986807309541526,0.0787,0.373,0.627,0.0,B
ImageNetV2,91,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.12,0.053,0.09856314291989524,0.0503,0.4825,0.5175000000000001,0.0,
ImageNetV2,91,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.37339999999999995,0.072,0.09936664152555987,0.0714,0.3442,0.6557999999999999,0.0,
ImageNetV2,91,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.42710000000000004,0.0725,0.09986664152555987,0.0768,0.3701,0.6299,0.0,
ImageNetV2,91,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.4193,0.0695,0.09986807309541526,0.075,0.3672,0.6328,0.0,B
ImageNetV2,92,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.14,0.0535,0.09906314291989524,0.0572,0.5045,0.49550000000000005,0.0,
ImageNetV2,92,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.3891,0.0725,0.09986664152555987,0.0748,0.3509,0.6491,0.0,
ImageNetV2,92,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.3798,0.0725,0.09986664152555987,0.0663,0.3512,0.6488,0.0,
ImageNetV2,92,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.3668,0.0695,0.09986807309541526,0.0645,0.3467,0.6533,0.0,B
ImageNetV2,93,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.155,0.0535,0.09906314291989524,0.0615,0.5177,0.48229999999999995,0.0,
